,Class,H00:00,H00:15,H00:30,H00:45,H01:00,H01:15,H01:30,H01:45,H02:00,H02:15,H02:30,H02:45,H03:00,H03:15,H03:30,H03:45,H04:00,H04:15,H04:30,H04:45,H05:00,H05:15,H05:30,H05:45,H06:00,H06:15,H06:30,H06:45,H07:00,H07:15,H07:30,H07:45,H08:00,H08:15,H08:30,H08:45,H09:00,H09:15,H09:30,H09:45,H10:00,H10:15,H10:30,H10:45,H11:00,H11:15,H11:30,H11:45,H12:00,H12:15,H12:30,H12:45,H13:00,H13:15,H13:30,H13:45,H14:00,H14:15,H14:30,H14:45,H15:00,H15:15,H15:30,H15:45,H16:00,H16:15,H16:30,H16:45,H17:00,H17:15,H17:30,H17:45,H18:00,H18:15,H18:30,H18:45,H19:00,H19:15,H19:30,H19:45,H20:00,H20:15,H20:30,H20:45,H21:00,H21:15,H21:30,H21:45,H22:00,H22:15,H22:30,H22:45,H23:00,H23:15,H23:30,H23:45
0,0,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.12199,0.1772,6.8878,0.19858,0.19858,0.13446,5.9902,2.9127,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611,-0.18611
1,0,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,0.19151,6.8861,0.19151,0.17103,0.19151,6.4767,1.6451,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177,-0.177
2,0,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,0.10221,5.6885,3.0168,0.22366,0.19937,3.9883,5.7857,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353,-0.21353
3,0,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147,0.16088,6.0651,0.16088,0.18043,0.16088,7.3554,1.1775,-0.17147,-0.17147,-0.17147,-0.17147,-0.17147
4,0,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,-0.16927,0.19095,6.0744,0.17093,0.19095,0.19095,7.3952,0.85133,-0.16927,-0.16927,-0.16927
5,0,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886,-0.12909,0.14984,6.5654,0.16977,0.14984,0.11,5.9278,3.6764,-0.18886,-0.18886,-0.18886,-0.18886,-0.18886
6,0,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,-0.21761,0.13647,5.366,3.2415,0.27265,0.24542,4.6851,5.4205,-0.21761,-0.21761,-0.21761
7,0,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.16578,-0.010702,0.90041,5.6304,0.16377,0.18315,0.14438,7.7434,-0.16578,-0.16578
8,0,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958,-0.15154,0.13371,6.7517,0.15273,0.13371,0.09568,4.3365,5.2303,-0.18958,-0.18958,-0.18958,-0.18958,-0.18958
9,0,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.001465,0.40037,5.9457,0.17936,0.19945,0.15927,7.5531,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622,-0.1622
